id,country_id,total_cases,today_cases,deaths,today_deaths,recovered,today_recovered,active,critical,cases_per_million,deaths_per_million,tests,tests_per_million,active_per_million,recovered_per_million,critical_per_million
90,90,29,0,0,0,29,0,0,0,36295.0,0.0,0,0.0,0.0,36295.37,0.0
91,91,474590,0,11165,0,0,0,463425,0,46432.0,1092.0,1660662,162472.0,45339.38,0.0,0.0
92,92,2937609,0,14924,0,2916005,0,6680,0,386309.0,1963.0,76127725,10011143.0,878.45,383467.96,0.0
93,93,2230232,0,49048,0,2152155,0,29029,0,232164.0,5106.0,11394556,1186160.0,3021.88,224036.75,0.0
94,94,209906,0,229,0,0,0,209677,0,607731.0,663.0,1996384,5780036.0,607067.89,0.0,0.0
95,95,45035393,0,533570,0,0,0,44501823,0,32016.0,379.0,935879495,665334.0,31637.15,0.0,0.0
96,96,6829221,0,162063,0,6647104,0,20054,0,24466.0,581.0,114158919,408975.0,71.84,23813.27,0.0
97,97,7627186,0,146811,0,0,0,7480375,0,88665.0,1707.0,57320267,666338.0,86958.01,0.0,0.0
98,98,2465545,0,25375,0,2439497,0,673,0,58474.0,602.0,19544451,463523.0,15.96,57856.02,0.0
99,99,1734582,0,9491,0,1724921,0,170,19,345521.0,1891.0,13083449,2606161.0,33.86,343596.14,3.78
100,100,38008,0,116,0,0,0,37892,0,443335.0,1353.0,150753,1758422.0,441981.99,0.0,0.0
101,101,4841772,0,12707,0,4798473,0,30592,0,519169.0,1363.0,41373364,4436346.0,3280.29,514526.38,0.0
102,102,26723249,0,196487,0,26361218,0,165544,22,443445.0,3261.0,281126449,4665010.0,2747.04,437437.87,0.37
103,103,156869,0,3756,0,0,0,153113,0,52551.0,1258.0,1183986,396633.0,51292.52,0.0,0.0
104,104,33803572,0,74694,0,0,0,33728878,0,269169.0,595.0,100414883,799578.0,268574.44,0.0,0.0
105,105,1746997,0,14122,0,1731007,0,1868,59,169597.0,1371.0,17201885,1669945.0,181.34,168044.75,5.73
106,106,1411831,0,13848,0,1383020,0,14963,24,73514.0,721.0,11575012,602707.0,779.12,72013.38,1.25
107,107,344130,0,5689,0,337309,0,1132,0,6122.0,101.0,3967062,70569.0,20.14,6000.31,0.0
108,108,5085,0,24,0,2703,0,2358,3,41201.0,194.0,0,0.0,19105.65,21901.0,24.31
109,109,667158,0,2570,0,0,0,664588,0,152308.0,587.0,8455743,1930391.0,151721.13,0.0,0.0
110,110,206897,0,2991,0,196406,0,7500,131,30750.0,445.0,1907195,283460.0,1114.7,29191.15,19.47
111,111,218970,0,758,0,0,0,218212,0,29270.0,101.0,1233207,164845.0,29168.74,0.0,0.0
112,112,982505,0,6715,0,971406,0,4384,0,531418.0,3632.0,7885792,4265272.0,2371.22,525414.63,0.0
113,113,1243838,0,10952,0,1087587,0,145299,74,186068.0,1638.0,4795578,717380.0,21735.57,162694.33,11.07
114,114,36138,0,723,0,25980,0,9435,0,16610.0,332.0,431221,198199.0,4336.54,11940.99,0.0
115,115,8090,0,295,0,7783,0,12,2,1525.0,56.0,139824,26356.0,2.26,1467.07,0.38
116,116,507274,0,6437,0,500835,0,2,0,72048.0,914.0,2483848,352782.0,0.28,71133.81,0.0
117,117,21574,0,94,0,0,0,21480,0,562013.0,2449.0,112457,2929559.0,559564.44,0.0,0.0
118,118,1397806,0,9897,0,1387478,0,431,0,525154.0,3718.0,10540357,3959997.0,161.93,521273.56,0.0
119,119,391232,0,1232,0,0,0,390000,0,609044.0,1918.0,4587145,7140959.0,607125.79,0.0,0.0
120,120,9,0,2,0,7,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
121,121,27673,0,123,0,3487,0,24063,0,41458.0,184.0,7850,11760.0,36049.98,5224.05,0.0
122,122,350567,0,9976,0,337068,0,3523,0,168436.0,4793.0,2226216,1069626.0,1692.69,161950.39,0.0
123,123,68486,0,1426,0,66862,0,198,0,2347.0,49.0,531329,18210.0,6.79,2291.51,0.0
124,124,89535,0,2686,0,0,0,86849,0,4437.0,133.0,624784,30959.0,4303.54,0.0,0.0
125,125,5278406,0,37348,0,5233268,0,7790,11,159079.0,1126.0,68580916,2066869.0,234.77,157718.47,0.33
